FILMS:
(500) Days of Summer | (500) Dias com Ela ; 500 Dias com Summer ; 500 días con ella ; 500 dni miłości ; 初恋500天 ; (500) jours ensemble ; 500일의 썸머 ; （500）日のサマー ; (500) días juntos ; Yayın 500 Günü ; 500 giorni insieme ; 仲夏500天 ; 19913 ; 500 days of summer
Les Misérables | Die Wütenden - Les Misérables ; I miserabili ; Les Misérables (2019) ; Os Miseráveis ; 悲慘世界 ; 레미제라블 ; Los miserables ; 586863 ; les misérables
Lilo & Stitch | ลีโลแอนด์สติทช์ ; לילו וסטיץ' ; Lilo et Stitch ; Lilo e Stitch ; Liloja dhe Stiçikmj k ; Disney's Lilo & Stitch ; ليلو وستيتش ; 史迪仔 ; Stitch ; Lilo és Stitch - A csillagkutya ; リロ&スティッチ ; Лило и Стич ; 星際寶貝：史迪奇 ; Ліло і Стіч ; Lilo và Stitch ; Lilo i Stitch ; Lilo og Stitch ; Lilo och Stitch ; 552524 ; lilo stitch
Linkin Park: FROM ZERO | 1352946 ; linkin park from zero
Little Miss Sunshine | 选美一家亲 ; Väike Miss Päikesepaiste ; Mis Saulstariņš ; Mažoji mis ; Мала мис Саншајн ; Nasa mala mis ; 미스 리틀 선샤인 ; Balaca Gün İşığım ; 773 ; little miss sunshine
Lone Survivor | 孤独幸存者 ; 론 서바이버 ; ローン・サバイバー：2013 ; El único superviviente ; El sobreviviente ; 红翼行动 ; 孤独的生还者 ; 193756 ; lone survivor
Look Back | Rukku Bakku ; 룩 백 ; LOOK BACK: Continúa Dibujando ; به گذشته بنگر ; ลุค แบ็ค ; 蓦然回首 ; 驀然回首 ; 1244492 ; look back
Love at Second Sight | Ahava Mi'Mabbat Sheni ; Mon Inconnue ; 致我的陌生恋人 ; 二次情缘 ; 陌生恋人 ; Ricomincio da te ; 570131 ; love at second sight
Luca | 卢卡 ; 盛夏友晴天 ; 루카 ; ลูก้า ; Mùa Hè Của Luca ; Лука ; Pixar Film Fest: Luca ; 508943 ; luca
Mad Max: Fury Road | Max ha'zoem: kvish ha'za'am ; Mad Max 4 ; Mad Max: La route du chaos ; Mad Max: A Estrada da Morte ; Mad Max: Furia na estrada ; Telba Maks: G'azab yo'li ; Mad Max 4 Fury Road ; შეშლილი მაქსი 4 ; 瘋狂麥斯：憤怒道 ; Վայրի Մաքսը ; मैड मैक्स ; Шалёны Макс: Дарога лютасці ; 76341 ; mad max fury road
Madagascar | Madagascar 1 ; 마다가스카 1 ; Madagascar I (2005) ; 荒失失奇兵 ; Cuộc Phiêu Lưu Đến Madagascar ; Madagaskar ; 953 ; madagascar
Madagascar 3: Europe's Most Wanted | Madagascar 3 ; Madagascar 3 - Bons Baisers d’Europe ; 马达加斯加3 ; Madagascar 3 - Europe's Most Wanted - 3D ; 마다가스카3 : 이번엔 서커스다 ; Madagaskar 3 Euroopa tagaotsitumad ; Madagascar 3 - Os Procurados ; Madagascar 3: De marcha por Europa ; Madagaskar 3: Full rulle i Europa ; 荒失失奇兵3：歐洲逐隻捉 ; Madagascar 3: Thần Tượng Châu Âu ; 马达加斯加3：欧洲大围捕 ; Madagaskar 3: Najtraženiji u Europi ; Madagaskar 3: Najtraženiji u Evropi ; 荒失失奇兵3：欧洲逐只捉 ; 80321 ; madagascar 3 europes most wanted
Madagascar: Escape 2 Africa | Madagascar 2 ; Madagascar 2 - La Grande Évasion ; Madagaszkár 2 ; 马达加斯加2 ; Madagascar 2 - Escape 2 Africa ; Madagaskar 2: Bijeg u Afriku ; 馬達加斯加2 ; Madagaskar 2: Útěk do afriky ; Madagaskar 2 ; Madagascar 2 : Retour au bercail ; Madagaskar 2 Põgenemine Aafrikasse ; Мадагаскар 2 ; Madagascar 2: Escape para Africa ; Madagascar 2 - Via dall'isola ; Madagascar: The Crate Escape ; Madagascar II: Escape 2 Africa (2008) ; 荒失失奇兵2：逃往非洲 ; Madagascar 2: Tẩu Thoát Đến Châu Phi ; マダガスカル2 ; 10527 ; madagascar escape 2 africa
Magnolia | 心灵角落 ; 매그놀리아 ; Магнолия ; 心靈角落 ; マグノリア：1999 ; 334 ; magnolia
May December | Secretos de un Escándalo ; Bir Skandalın Peşinde ; 五月的你，十二月的她 ; Травень, грудень ; May December: Segredos de Um Escândalo ; Segredos de um Escândalo ; 五月十二月 ; Proljeće, jesen ; Mai ja detsember ; Egy botrány részletei ; Hatzatza La'Yakhasim ; メイ・ディセンバー ゆれる真実 ; Obsesja ; Май декабрь ; Мај-децембар ; May Dekabr ; 839369 ; may december
Maze Runner: The Death Cure | Maze Runner 3 ; Ο λαβύρινθος: Θεραπεία θανάτου ; Maze Runner 3: The Death Cure ; Maze Runner 3 - A Cura Mortal ; Maze Runner: Dødskuren ; Maze Runner: La cura mortal ; Correr o Morir 3 - La cura mortal ; Labirent: Son İsyan ; The Maze Runner 3: The Death Cure ; دونده هزارتو: درمان مرگ ; Giải Mã Mê Cung 3: Lối Thoát Tử Thần ; 移動迷宮：死亡解藥 ; 移動迷宮3：死亡解藥 ; 336843 ; maze runner the death cure
Maze Runner: The Scorch Trials | 移动迷宫2 ; Той, що біжить лабіринтом 2 ; Maze Runner 2: The Scorch Trials ; El Corredor del Laberinto 2 - Las Pruebas ; メイズ・ランナー2 砂漠の迷宮 ; Le Labyrinthe 2 - La Terre brûlée ; Maze Runner: Prueba de fuego ; Correr o Morir 2 ; Maze Runner 2 - Prova de Fogo ; Bėgantis labirintu Išbandymai ugnimi ; The Maze Runner 2 - Die Auserwählten in der Brandwüste ; Labirent: Alev Deneyleri ; The Maze Runner 2: The Scorch Trials ; دونده هزارتو ۲: آزمون های اسکرچ ; Giải Mã Mê Cung 2: Thử Nghiệm Đất Cháy ; 移動迷宮2：焦土試煉 ; 移動迷宮：焦土試煉 ; 移动迷宫2：烧痕审判 ; 294254 ; maze runner the scorch trials
McWalter | 1301072 ; mcwalter
Megamind | Megamind 3D ; Master Mind ; Oobermind ; Megamind: Superschurk ; 메가 마인드 ; Megamente ; メガマインド ; Kẻ Xấu Đẹp Trai ; Người Hùng Bất Đắc Dĩ ; 38055 ; megamind
Memento | Пам'ятай ; Amnésia 2000 ; یادآوری ; Помни ; 記憶拼圖 ; 77 ; memento
Memoir of a Snail | 蜗牛回忆录 ; Bir İlbizin Xatirələri ; Egy csiga emlékiratai ; かたつむりのメモワール ; Pamiętnik ślimaka ; Мемуары Улитки ; Memoari jednog puža ; 蝸牛少女回憶錄 ; Bir Salyangozun Anıları ; Мемуари равлика ; 1064486 ; memoir of a snail
Mickey 17 | 696506 ; mickey 17
Migration | 飞鸭向前冲 ; 鸭仔也移民 ; 마이그레이션 ; Patos ; Vogelvlucht ; Ender på eventyr ; Wyfrunięci ; Raus aus dem Teich ; Änder! ; Langt fra andedammen ; Patke selice ; Migracija ; 飛鴨向前衝 ; 940551 ; migration
Mission: Impossible - Dead Reckoning Part One | Mission: Impossible VII ; Mission: Impossible 7 ; Missão Impossível 7 ; Misión: Imposible - Sentencia Mortal Parte 1 ; Mission: Impossible - Dead Reckoning Part 1 ; 미션 임파서블 7 ; ミッション:インポッシブル デッドレコニング PART ONE ; Missão: Impossível - Ajuste de Contas ; มิชชั่น:อิมพอสซิเบิ้ล 7 ; Nhiệm Vụ: Bất Khả Thi 7 - Nghiệp Báo Phần 1 ; 미션 임파서블: 데드 레코닝 파트 원 ; 미션 임파서블: 데드 레코닝 파트 1 ; משימה בלתי אפשרית 7: נקמת מוות - חלק ראשון ; Mission Impossible - Dead Reckoning Teil 1 ; Mission Impossible 7 - Dead Reckoning Teil Eins ; Missão: Impossível Acerto de Contas Parte Um ; Mission Impossible 7 - Dead Reckoning Teil 1 ; 碟中谍7：致命清算 ; Mission: Impossible - Dead Reckoning ; Görevimiz Tehlike 7: Ölümcül Hesaplaşma ; Görevimiz Tehlike 7 ; Misija: Nemogoče 7 ; Misija: Nemogoče - Maščevanje ; משימה בלתי אפשרית: נקמת מוות - חלק ראשון ; Missão Impossível 7 - Acerto de Contas  Parte 1 ; Missão Impossível 7 - Acerto de Contas  Parte 1 (2023) ; 職業特工隊: 死亡清算上集 ; Misión imposible: Sentencia mortal - Parte uno ; ミッション：インポッシブル／デッドレコニング ; Missiyamız Təhlükə : Ölümcül Hesablaşma ; Missiyamız Təhlükə 7 ; משימה בלתי אפשרית: חשבון סופי - חלק ראשון ; Mission Impossible - Dead Reckoning Teil Eins ; 미션 임파서블: 데드 레코닝 ; M:i-7 ; Mission : Impossible 7 - Dead Reckoning ; Mission impossible : Dead Reckoning Partie 1 ; Görevimiz Tehlike: Ölümcül Hesaplaşma Bölüm 1 ; 575264 ; mission impossible dead reckoning part one
Mission: Impossible - The Final Reckoning | Mission: Impossible - Dead Reckoning Part Two ; มิชชั่น:อิมพอสซิเบิ้ล ล่าพิกัดมรณะ ตอนที่สอง ; Mission: Impossible Odplata - Druhá část ; Немогућа мисија: Одмазда - Други део ; Nhiệm Vụ Bất Khả Thi: Nghiệp Báo - Phần 2 ; Mission : Impossible - Dead Reckoning Partie 2 ; משימה בלתי אפשרית: נקמת מוות - חלק שני ; משימה בלתי אפשרית 8: חשבון סופי ; 碟中谍8：致命清算（下） ; Mission: Impossible 8 ; मिशन: इम्पॉसिबल - द फाइनल रेकनिंग ; ミッション：インポッシブル／デッドレコニング PART TWO ; Миссия невыполнима: Финальная расплата ; Misiune: Imposibilă. Răfuială finală ; Mission: Impossible - Bilan Final ; Mission Impossible 8 - Dead Reckoning Partie 2 ; 碟中谍8 ; Mission Impossible 8 - The Final Reckoning ; 職業特工隊 8 ：最終清算 ; 575265 ; mission impossible the final reckoning
Moana | Moana: Un mar de aventuras ; Vaiana - Das Paradies hat einen Haken ; 모아나 ; Vaiana - La Légende du Bout du Monde ; Vaiana ; Moana - Um Mar de Aventuras ; Смелата Ваяна ; Vaiana: Potraga za mitskim otokom ; Odvážná Vaiana: Legenda o konci světa ; موانا ; Βαϊάνα ; Oceania ; モアナと伝説の海 ; Моана ; Vajana ; Vaiana: Skarb oceanu ; Vaiana: Legenda o oceáne ; Vaiana: iskanje bajeslovnega otoka ; 海洋奇緣 ; Hành Trình Của Moana ; موانا مدبلج بالعامية المصريه ; Vaiana (1), la légende du bout du monde ; Vaiana 1 ; 277834 ; moana
Moana 2 | Moana: Um Mar de Aventuras 2 ; Маана 2 ; モアナ２ ; 莫阿娜2 ; 海洋奇緣2 ; Մոանա 2 ; 海洋奇缘2 ; موانا ٢ ; 1241982 ; moana 2
Monsters University | 怪兽电力公司2 ; Universitet monstrov ; Monsters University - 3D ; Monsters Inc. 2 ; Monstros: Universidade ; جامعة الوحوش ; 몬스터 대학교 ; Университет за таласъми ; Monstruos University ; มหา'ลัย มอนส์เตอร์ ; Корпорация монстров 2 ; Monstres Academy ; Kollide ülikool ; 怪兽电力公司2：怪兽大学 ; Die Monster AG 2 - Die Monster Uni ; Monsterit 2: Yliopisto ; Монстрлар университеті ; Canavarlar Universiteti ; Monsters, Inc. 2: Monsters University ; 62211 ; monsters university
Monsters, Inc. | 怪兽公司 ; Miflatzot, ba'am ; Công Ty Quái Vật ; Hidden City ; شركة الوحوش ; Monstres et Cie ; Monsters en Co ; Bampoúlas A.E. ; Monstres & Compagnie ; Monstres et Compagnie ; Talasŭmi OOD ; Korporatsiya monstrov ; Čudovišta iz ormara ; Korporatsiya monstriv ; Kollide Kompanii ; מפלצות בע"מ ; Monsterbedriften ; モンスターズインク ; Canavarlar Şirkəti ; 怪獸公司 ; شركة المرعبين المحدودة ; 585 ; monsters inc
Mortal Engines | Mortal Engines: Krieg der Städte ; Máquinas Mortais ; Mécanique fatale ; 移动城市：致命引擎 ; Смертні машини ; 428078 ; mortal engines
Mufasa: The Lion King | The Lion King 2 ; Vua Sư Tử 2 ; 狮子王前传：木法沙 ; 狮子王前传 ; 狮子王：穆法沙 ; 狮子王真狮版2 ; מופסה: מלך האריות ; Mufasa: Aslanlar kralı ; 獅子王：木法沙 ; Mufasa: O Rei Leão ; Մուֆասա ; Mufasa Le Roi lion ; Mufasa - Der König der Löwen ; Der König der Löwen 2 - Mufasa ; Mufasa: Lõvikuningas ; 762509 ; mufasa the lion king
Mulan | 花木蘭 ; វីរៈនារីមូឡាន ; Мулан [Mulan] ; มู่หลาน ; 木蘭 ; Matchless Mulan ; 花木蘭(2020) ; 花木兰.2020 ; 花木兰.刘亦菲 ; 337401 ; mulan
Mulan | Walt Disney's Mulan ; Legenda o Mulan ; 뮬란 ; 花木兰 ; ムーラン ; 花木蘭 (1998) ; 10674 ; mulan
Mulan II | Mulan 2 ; Мулан 2 ; מולאן 2 ; 花木兰2 ; Legenda o Mulan 2 ; ムーラン2 ; 뮬란 2 ; Mulan 2 : La Mission de l'Empereur ; Mulan II: A Lenda Continua ; Mulan 2 - La leggenda continua ; 花木蘭2 (2004) ; 12242 ; mulan ii
My Afternoons with Margueritte | Mis tardes con Margueritte ; Ahar Ha'tzaharayim Bakfar Im Margueritte ; Mina eftermiddagar med Margueritte ; Mine eftermiddage med Margueritte ; Minhas Tardes com Margueritte ; Nem beszélek zöldségeket! ; 下里巴人 ; 与玛格丽特共度的午后 ; Møte Med Margueritte ; Моите следобеди с Маргьорит ; 39413 ; my afternoons with margueritte
My Fault | 我的错误 ; اشتباه من ; Culpa Mia – Meine Schuld ; Benim Hatam ; Culpa Mia ; 我的过错 ; À Contre-Sens ; 1010581 ; my fault
My Oxford Year | 我的牛津岁月 ; 1307078 ; my oxford year
Napoleon | Kitbag ; Ridley Scott's Napoleon ; Marengo ; Napoleone ; ناپلئون ; Наполеон ; 士兵行囊 ; 拿破仑 ; Đế Chế Napoleon ; '나폴레옹' - Napoleon ; Napoleon: The Director's Cut ; Napoleón: Versión del director ; Նապոլեոն ; Napoleon: Bản Dựng Của Đạo Diễn - Napoleon: The Director's Cut ; Наполеон: Режисерська версія ; Napoleon: Režisérska verzia ; Наполеон: Режиссерская версия ; Napoleão - Versão do Diretor ; Napoleão: Versão do Realizador ; '나폴레옹: 디렉터스 컷' - Napoleon: The Director's Cut ; ナポレオン：ディレクターズ・カット ; Napóleon: Rendezői változat ; नपोलियन : द डायरेक्टर्स कट ; Ναπολέων: Director's Cut ; Napoléon : la version du réalisateur ; Napoléon : version longue ; 拿破崙：導演版 ; 拿破崙：導演剪輯版 ; 753342 ; napoleon
Ne Zha | 哪吒 ; Ne Zha: Birth of the Demon Child ; Nezha: Zrození dětského démona ; Ne zha zhi mo tong jiang shi ; Nezha - El renacer de un dios ; 哪吒之魔童降世 ; ناچا : ميلاد الطفل الشيطان ; 너자 ; 615453 ; ne zha
Ne Zha 2 | 哪吒2之魔童闹海 ; Na Tra: Ma Đồng Náo Hải ; 哪吒2 ; Nézhā zhī Mótóng nào hǎi ; Nézhā èr ; 哪吒贰之魔童闹海 ; 哪吒之魔童鬧海 ; ناچا٢ ; Ne Zha II ; نژا 2 ; Nezha: The demon child churns the sea ; 나타 2 ; נה ז'א 2 ; 나타지마동요해 ; 980477 ; ne zha 2
No Country for Old Men | No Country for Old Men - Non, ce pays n'est pas pour le vieil homme ; Старикам здесь не место ; 二百萬奪命奇案 ; Non e' un paese per vecchi ; 노인을 위한 나라는 없다 ; To nie jest kraj dla starych ludzi ; No es país para viejos ; Qocalara Yer Yoxdur ; Sin lugar para los débiles ; 老无所依 ; Սա ծերերի տեղը չէ ; Старым тут не месца ; İhtiyarlara Yer Yok ; 6977 ; no country for old men
No Game, No Life: Zero | NGNL Zero ; NGNL the Movie ; No Game, No Life: The Movie - Zero ; No Game No Life 0 ; Trò Chơi Sinh Tử: Điểm Bắt Đầu ; 游戏人生零 ; Без игры жизни нет: Начало ; Игра на выживание: Начало ; Без игры — нет жизни: Начало ; Нет игры — нет жизни: Ноль ; 游戏人生 Zero ; 445030 ; no game no life zero
No Signal! | 1284787 ; no signal
No Time to Die | 007: Не время умирать ; James Bond: Ölmek İçin Zaman Yok ; 007 พยัคฆ์ร้ายฝ่าเวลามรณะ ; James Bond - Mourir peut attendre ; 007 Sem Tempo Para Morrer ; 007: Nie czas umierać ; Není čas zemřít ; 007 ノー・タイム・トゥ・ダイ ; 007系列：无暇赴死 ; Điệp Viên 007: Không Phải Lúc Chết ; 007：无暇赴死 ; 370172 ; no time to die
Nobody 2 | Heç Kim 2 ; 殺神Nobody2 ; Никто 2 ; Nobody: Erou de serviciu 2 ; Mr. Nobody 2 ; Nadie 2 ; 노바디2 ; คนธรรมดานรกเรียกพี่ 2 ; Io sono nessuno 2 ; Anônimo 2 ; 1007734 ; nobody 2
Not Without My Shrink | Family Therapy ; 1130402 ; not without my shrink
Notting Hill | 노팅힐 ; Mia vradia sto Notting Hill ; Ноттінг Гілл ; ノッティングヒルの恋人：1999 ; 509 ; notting hill
November | 13/11 ; נובמבר ; Шрамы Парижа ; Novembre ; Noviembre: París atacado ; November - Paris im Fadenkreuz ; Terror párizsban ; 823951 ; november
Novocaine | Mr. Novocaine ; Novocaine No Pain ; Novocaine: À Prova de Dor ; نوفوكين ; Novocaine: Sin dolor ; 1195506 ; novocaine
Now You See Me | Nada es lo que parece ; Die Unfassbaren - Now You See Me ; 나우 유씨미 : 마술사기단 ; グランド・イリュージョン ; 惊天魔盗团 ; Phi Vụ Thế Kỷ ; 非常盜 ; Ahora me ves: 1 ; Now You See Me 1 ; Insaisissables ; Иллюзия обмана 1 ; 75656 ; now you see me
Now You See Me 2 | Now You See Me: The Second Act ; NYSM2 ; Mestres da Ilusão 2 ; Truque de Mestre o Segundo Ato ; 나우 유씨 미 2 ; Insaisissable 2 - Now You See Me 2 ; グランド・イリュージョン 見破られたトリック ; Phi Vụ Thế Kỷ 2 ; 非常盜2 ; Ahora me ves: 2 ; اکنون مرا میبینی 2 ; Insaisissables 2 ; Truque de Mestre 2 ; 291805 ; now you see me 2
Now You See Me: Now You Don't | Now You See Me 3 ; 出神入化3 ; 惊天魔盗团3 ; Majstori iluzije 3 ; Truque de Mestre 3 ; Um Truque de Mestre 3 ; L'illusione perfetta - Now You See Me: Now You Don't ; Insaisissables 3 ; 非常盜3 ; Nada es lo que parece 3 ; حالا من را میبینی : حالا من را نمیبینی ; Truque de Mestre: O Terceiro Ato ; อาชญากลปล้นโลก 3 ; Truque de mestre - O 3º ato ; Die Unfassbaren 3 ; グランド・イリュージョン／ダイヤモンド・ミッション ; 425274 ; now you see me now you dont
